"GBD 2017 sequelae, health states, health state lay descriptions, and disability weights",,,
Sequela,Health state name,Health state lay description,Disability Weight
Stage III chronic kidney disease and severe anemia due to type 2 diabetes mellitus,"Anemia, severe","feels very weak, tired and short of breath, and has problems with activities that require physical effort or deep concentration.","0.149
(0.101-0.209)"
End-stage renal disease on dialysis due to type 2 diabetes mellitus,"End-stage renal disease, on dialysis","is tired and has itching, cramps, headache, joint pains and shortness of breath. The person needs intensive medical care every other day lasting about half a day. ","0.571
(0.398-0.725)"
Stage IV chronic kidney disease untreated without anemia due to type 2 diabetes mellitus,Chronic kidney disease (stage IV),"tires easily, has nausea, reduced appetite and difficulty sleeping.","0.104
(0.070-0.147)"
Stage IV chronic kidney disease untreated and moderate anemia due to hypertension,Moderate anemia with Stage IV CKD,--,--
Stage IV chronic kidney disease untreated and severe anemia due to hypertension,Severe anemia with Stage IV CKD,--,--
Stage IV chronic kidney disease untreated and mild anemia due to hypertension,Mild anemia with Stage IV CKD,--,--
Albuminuria with preserved GFR due to hypertension,--,--,--
Stage V chronic kidney disease untreated and severe anemia due to hypertension,"Severe anemia and terminal phase, without medication (for cancers, end-stage kidney/liver disease)",(combined DW),--
End-stage renal disease after transplant due to hypertension,"End-stage renal disease, with kidney transplant","sometimes feels tired and down, and has some difficulty with daily activities.","0.024
(0.014-0.039)"
End-stage renal disease on dialysis due to hypertension,"End-stage renal disease, on dialysis","is tired and has itching, cramps, headache, joint pains and shortness of breath. The person needs intensive medical care every other day lasting about half a day. ","0.571
(0.398-0.725)"
Stage III chronic kidney disease and mild anemia due to hypertension,"Anemia, mild","feels slightly tired and weak at times, but this does not interfere with normal daily activities.","0.004
(0.001-0.008)"
Stage III chronic kidney disease and moderate anemia due to hypertension,"Anemia, moderate","feels moderate fatigue, weakness, and shortness of breath after exercise, making daily activities more difficult.","0.052
(0.034-0.076)"
Stage III chronic kidney disease and severe anemia due to hypertension,"Anemia, severe","feels very weak, tired and short of breath, and has problems with activities that require physical effort or deep concentration.","0.149
(0.101-0.209)"
Stage III chronic kidney disease without anemia due to hypertension,--,--,--
Stage IV chronic kidney disease untreated without anemia due to hypertension,Chronic kidney disease (stage IV),"tires easily, has nausea, reduced appetite and difficulty sleeping.","0.104
(0.070-0.147)"
Stage V chronic kidney disease untreated without anemia due to hypertension,"Terminal phase, without medication (for cancers, end-stage kidney/liver disease)","has lost a lot of weight and has constant pain. The person has no appetite, feels nauseous, and needs to spend most of the day in bed.","0.569
(0.389-0.727)"
Stage V chronic kidney disease untreated and mild anemia due to hypertension,"Mild anemia and terminal phase, without medication (for cancers, end-stage kidney/liver disease)",(combined DW),--
Stage V chronic kidney disease untreated and moderate anemia due to hypertension,"Moderate anemia and terminal phase, without medication (for cancers, end-stage kidney/liver disease)",(combined DW),--
Stage V chronic kidney disease untreated without anemia due to glomerulonephritis,"Terminal phase, without medication (for cancers, end-stage kidney/liver disease)","has lost a lot of weight and has constant pain. The person has no appetite, feels nauseous, and needs to spend most of the day in bed.","0.569
(0.389-0.727)"
Stage V chronic kidney disease untreated and mild anemia due to glomerulonephritis,"Mild anemia and terminal phase, without medication (for cancers, end-stage kidney/liver disease)",(combined DW),--
Stage III chronic kidney disease and severe anemia due to glomerulonephritis,"Anemia, severe","feels very weak, tired and short of breath, and has problems with activities that require physical effort or deep concentration.","0.149
(0.101-0.209)"
Stage IV chronic kidney disease untreated and mild anemia due to glomerulonephritis,Mild anemia with Stage IV CKD,--,--
Stage IV chronic kidney disease untreated and severe anemia due to glomerulonephritis,Severe anemia with Stage IV CKD,--,--
Stage III chronic kidney disease and mild anemia due to glomerulonephritis,"Anemia, mild","feels slightly tired and weak at times, but this does not interfere with normal daily activities.","0.004
(0.001-0.008)"
End-stage renal disease on dialysis due to glomerulonephritis,"End-stage renal disease, on dialysis","is tired and has itching, cramps, headache, joint pains and shortness of breath. The person needs intensive medical care every other day lasting about half a day. ","0.571
(0.398-0.725)"
End-stage renal disease after transplant due to glomerulonephritis,"End-stage renal disease, with kidney transplant","sometimes feels tired and down, and has some difficulty with daily activities.","0.024
(0.014-0.039)"
Stage V chronic kidney disease untreated and moderate anemia due to glomerulonephritis,"Moderate anemia and terminal phase, without medication (for cancers, end-stage kidney/liver disease)",(combined DW),--
Stage IV chronic kidney disease untreated and moderate anemia due to glomerulonephritis,Moderate anemia with Stage IV CKD,--,--
Stage III chronic kidney disease without anemia due to glomerulonephritis,--,--,--
Albuminuria with preserved GFR due to glomerulonephritis,--,--,--
Stage III chronic kidney disease and moderate anemia due to glomerulonephritis,"Anemia, moderate","feels moderate fatigue, weakness, and shortness of breath after exercise, making daily activities more difficult.","0.052
(0.034-0.076)"
Stage IV chronic kidney disease untreated without anemia due to glomerulonephritis,Chronic kidney disease (stage IV),"tires easily, has nausea, reduced appetite and difficulty sleeping.","0.104
(0.070-0.147)"
Stage V chronic kidney disease untreated and severe anemia due to glomerulonephritis,"Severe anemia and terminal phase, without medication (for cancers, end-stage kidney/liver disease)",(combined DW),--
Stage V chronic kidney disease untreated and severe anemia due to other causes,"Severe anemia and terminal phase, without medication (for cancers, end-stage kidney/liver disease)",(combined DW),--
Albuminuria with preserved GFR due to other causes,--,--,--
Stage IV chronic kidney disease untreated and severe anemia due to other causes,Severe anemia with Stage IV CKD,--,--
Stage IV chronic kidney disease untreated and moderate anemia due to other causes,Moderate anemia with Stage IV CKD,--,--
Stage IV chronic kidney disease untreated and mild anemia due to other causes,Mild anemia with Stage IV CKD,--,--
Stage IV chronic kidney disease untreated without anemia due to other causes,Chronic kidney disease (stage IV),"tires easily, has nausea, reduced appetite and difficulty sleeping.","0.104
(0.070-0.147)"
Stage V chronic kidney disease untreated and moderate anemia due to other causes,"Moderate anemia and terminal phase, without medication (for cancers, end-stage kidney/liver disease)",(combined DW),--
End-stage renal disease on dialysis due to other causes,"End-stage renal disease, on dialysis","is tired and has itching, cramps, headache, joint pains and shortness of breath. The person needs intensive medical care every other day lasting about half a day. ","0.571
(0.398-0.725)"
Stage III chronic kidney disease and mild anemia due to other causes,"Anemia, mild","feels slightly tired and weak at times, but this does not interfere with normal daily activities.","0.004
(0.001-0.008)"
Stage III chronic kidney disease and moderate anemia due to other causes,"Anemia, moderate","feels moderate fatigue, weakness, and shortness of breath after exercise, making daily activities more difficult.","0.052
(0.034-0.076)"
Stage III chronic kidney disease and severe anemia due to other causes,"Anemia, severe","feels very weak, tired and short of breath, and has problems with activities that require physical effort or deep concentration.","0.149
(0.101-0.209)"
